dataset,model,tag,precision,batch,threads,iters,warmup,mean_ms,p50_ms,p90_ms,img_s,onnx
CIFAR100,resnet18_CIFAR100_resnet18,CIFAR100_resnet18_CIFAR100_resnet18_20251015_162556,int8,8,4,300,40,4.8081744799999155,3.3895264999941332,6.894864899993536,1663.8331311138568,/home/manu/Desktop/researchpaper3/exports/CIFAR100_resnet18_CIFAR100_resnet18_20251015_162556/model_int8.onnx
SVHN,mobilenet_v3_small_SVHN_mobilenet_v3_small,SVHN_mobilenet_v3_small_SVHN_mobilenet_v3_small_20251015_145710,fp32,1,4,300,40,1.9672831399996464,1.9642350000026454,1.9956635999989203,508.31523925944873,/home/manu/Desktop/researchpaper3/exports/SVHN_mobilenet_v3_small_SVHN_mobilenet_v3_small_20251015_145710/model_fp32.onnx
SVHN,mobilenet_v3_small_SVHN_mobilenet_v3_small,SVHN_mobilenet_v3_small_SVHN_mobilenet_v3_small_20251015_145710,fp32,2,4,300,40,3.1821100433340157,3.1904660000066087,3.20718979999981,628.513776319478,/home/manu/Desktop/researchpaper3/exports/SVHN_mobilenet_v3_small_SVHN_mobilenet_v3_small_20251015_145710/model_fp32.onnx
SVHN,mobilenet_v3_small_SVHN_mobilenet_v3_small,SVHN_mobilenet_v3_small_SVHN_mobilenet_v3_small_20251015_145710,fp32,4,4,300,40,7.155354293333242,5.231616499997926,11.615586600005656,559.0219346268939,/home/manu/Desktop/researchpaper3/exports/SVHN_mobilenet_v3_small_SVHN_mobilenet_v3_small_20251015_145710/model_fp32.onnx
SVHN,mobilenet_v3_small_SVHN_mobilenet_v3_small,SVHN_mobilenet_v3_small_SVHN_mobilenet_v3_small_20251015_145710,fp32,8,4,300,40,13.612735433333587,9.539583500000504,21.818282600003158,587.684968915972,/home/manu/Desktop/researchpaper3/exports/SVHN_mobilenet_v3_small_SVHN_mobilenet_v3_small_20251015_145710/model_fp32.onnx
SVHN,mobilenet_v3_small_SVHN_mobilenet_v3_small,SVHN_mobilenet_v3_small_SVHN_mobilenet_v3_small_20251015_145710,int8,1,4,300,40,0.4979378599996191,0.4928644999964149,0.5182674000039356,2008.28272025904,/home/manu/Desktop/researchpaper3/exports/SVHN_mobilenet_v3_small_SVHN_mobilenet_v3_small_20251015_145710/model_int8.onnx
SVHN,mobilenet_v3_small_SVHN_mobilenet_v3_small,SVHN_mobilenet_v3_small_SVHN_mobilenet_v3_small_20251015_145710,int8,2,4,300,40,0.6928035833333487,0.6886290000025497,0.7146007999963899,2886.8210963592574,/home/manu/Desktop/researchpaper3/exports/SVHN_mobilenet_v3_small_SVHN_mobilenet_v3_small_20251015_145710/model_int8.onnx
SVHN,mobilenet_v3_small_SVHN_mobilenet_v3_small,SVHN_mobilenet_v3_small_SVHN_mobilenet_v3_small_20251015_145710,int8,4,4,300,40,1.0075884133337827,1.0034684999951082,1.0300019000084149,3969.874948011063,/home/manu/Desktop/researchpaper3/exports/SVHN_mobilenet_v3_small_SVHN_mobilenet_v3_small_20251015_145710/model_int8.onnx
SVHN,mobilenet_v3_small_SVHN_mobilenet_v3_small,SVHN_mobilenet_v3_small_SVHN_mobilenet_v3_small_20251015_145710,int8,8,4,300,40,1.652912050000263,1.6484840000003942,1.6742362000016442,4839.942935862031,/home/manu/Desktop/researchpaper3/exports/SVHN_mobilenet_v3_small_SVHN_mobilenet_v3_small_20251015_145710/model_int8.onnx
SVHN,resnet18_SVHN_resnet18,SVHN_resnet18_SVHN_resnet18_20251015_153705,fp32,1,4,300,40,13.021197983332419,12.750447499996653,14.041634600010866,76.79784926702092,/home/manu/Desktop/researchpaper3/exports/SVHN_resnet18_SVHN_resnet18_20251015_153705/model_fp32.onnx
SVHN,resnet18_SVHN_resnet18,SVHN_resnet18_SVHN_resnet18_20251015_153705,fp32,2,4,300,40,23.060932413333056,21.924004500007754,25.38164130000382,86.72676213402661,/home/manu/Desktop/researchpaper3/exports/SVHN_resnet18_SVHN_resnet18_20251015_153705/model_fp32.onnx
SVHN,resnet18_SVHN_resnet18,SVHN_resnet18_SVHN_resnet18_20251015_153705,fp32,4,4,300,40,41.243552866665986,40.36125800000434,40.539274900012856,96.98485513436198,/home/manu/Desktop/researchpaper3/exports/SVHN_resnet18_SVHN_resnet18_20251015_153705/model_fp32.onnx
SVHN,resnet18_SVHN_resnet18,SVHN_resnet18_SVHN_resnet18_20251015_153705,fp32,8,4,300,40,77.19701633666716,77.19701450000116,77.37527150001995,103.63094818471822,/home/manu/Desktop/researchpaper3/exports/SVHN_resnet18_SVHN_resnet18_20251015_153705/model_fp32.onnx
SVHN,resnet18_SVHN_resnet18,SVHN_resnet18_SVHN_resnet18_20251015_153705,int8,1,4,300,40,1.109476343332479,1.105554500000494,1.1335474999867756,901.3261129988131,/home/manu/Desktop/researchpaper3/exports/SVHN_resnet18_SVHN_resnet18_20251015_153705/model_int8.onnx
SVHN,resnet18_SVHN_resnet18,SVHN_resnet18_SVHN_resnet18_20251015_153705,int8,2,4,300,40,1.4575883466652801,1.4450179999840884,1.4920473000017864,1372.129521051446,/home/manu/Desktop/researchpaper3/exports/SVHN_resnet18_SVHN_resnet18_20251015_153705/model_int8.onnx
SVHN,resnet18_SVHN_resnet18,SVHN_resnet18_SVHN_resnet18_20251015_153705,int8,4,4,300,40,1.9161492766661088,1.9146249999977272,1.9410547999939354,2087.520032342973,/home/manu/Desktop/researchpaper3/exports/SVHN_resnet18_SVHN_resnet18_20251015_153705/model_int8.onnx
SVHN,resnet18_SVHN_resnet18,SVHN_resnet18_SVHN_resnet18_20251015_153705,int8,8,4,300,40,3.3592819866661707,3.3603984999928116,3.3786842000125716,2381.4612859992103,/home/manu/Desktop/researchpaper3/exports/SVHN_resnet18_SVHN_resnet18_20251015_153705/model_int8.onnx
